File_ID,Group_ID,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,gt_label,coverage
img_1572,M,2,2,2,2,2,2,0.0745
img_1573,M,2,2,2,2,2,2,0.058
img_1574,M,0,0,0,0,0,0,0.0028
img_1575,M,2,2,2,2,2,2,0.0786
img_1576,M,2,2,2,2,2,2,0.0683
img_1577,M,0,0,0,0,0,0,0.0045
img_1578,M,1,0,1,1,1,1,0.0093
img_1579,M,0,0,1,0,0,0,0.0229
img_1580,M,1,1,1,1,1,1,0.0081
img_1581,M,2,2,2,2,2,2,0.047
img_1582,M,1,1,2,1,1,1,0.0068
img_1583,M,1,1,1,1,1,1,0.0112
img_1584,M,1,1,1,0,0,1,0.017
img_1585,M,0,0,0,0,0,0,0.0108
img_1586,M,2,2,2,2,1,2,0.014
img_1587,M,2,2,2,2,2,2,0.0748
img_1588,M,0,0,0,0,0,0,0.0111
img_1589,M,0,0,1,0,1,0,0.0071
img_1590,M,0,1,1,0,1,1,0.0088
img_1591,M,0,0,0,0,0,0,0.015
img_1592,M,0,0,0,0,1,0,0.0194
img_1593,M,2,2,2,2,2,2,0.04
img_1594,M,1,1,2,1,2,1,0.0045
img_1595,M,0,0,1,1,1,1,0.0039
img_1596,M,0,0,0,0,0,0,0.005
img_1597,M,0,0,0,1,1,0,0.0116
img_1598,M,0,0,0,0,0,0,0.0008
img_1599,M,0,0,0,0,0,0,0.0119
img_1600,M,0,0,0,1,1,0,0.0135
img_1601,M,0,0,0,1,0,0,0.003
img_1602,M,1,2,1,2,2,2,0.0483
img_1603,M,2,2,2,2,2,2,0.0874
img_1604,M,1,1,1,1,1,1,0.0249
img_1605,M,1,2,2,2,2,2,0.0181
img_1606,M,0,0,0,0,0,0,0.0047
img_1607,M,2,2,2,2,2,2,0.0531
img_1608,M,0,0,0,0,0,0,0.0024
img_1609,M,0,0,0,0,0,0,0.012
img_1610,M,2,2,2,2,2,2,0.0713
img_1611,M,0,0,1,0,1,0,0.0074
img_1612,M,1,2,2,2,2,2,0.052
img_1613,M,0,1,1,1,1,1,0.0056
img_1614,M,2,2,2,2,2,2,0.1145
img_1615,M,1,2,2,2,2,2,0.0506
img_1616,M,1,1,2,1,1,1,0.0257
img_1617,M,0,0,0,0,0,0,0.0194
img_1618,M,1,2,2,2,2,2,0.0927
img_1619,M,0,0,0,0,0,0,0.0024
img_1620,M,0,0,0,0,0,0,0.016
img_1621,M,0,0,0,0,0,0,0.0045
img_1622,M,2,1,2,2,1,2,0.0485
img_1623,M,0,0,1,1,0,0,0.0039
img_1624,M,0,0,1,1,1,1,0.0078
img_1625,M,1,1,1,1,1,1,0.0076
img_1626,M,0,1,0,0,0,0,0.0069
img_1627,M,0,0,0,0,0,0,0.005
img_1628,M,0,0,0,0,0,0,0.007
img_1629,M,0,0,1,0,0,0,0.005
img_1630,M,0,1,0,1,1,1,0.0158
img_1631,M,1,1,1,1,1,1,0.0225
img_1632,M,2,2,2,2,2,2,0.0851
img_1633,M,0,0,0,0,0,0,0.0254
img_1634,M,0,1,1,1,1,1,0.0137
img_1635,M,1,1,0,1,1,1,0.0051
img_1636,M,0,1,1,1,1,1,0.0082
img_1637,M,2,2,2,2,2,2,0.0327
img_1638,M,1,2,2,1,1,1,0.0291
img_1639,M,1,1,1,1,1,1,0.0134
img_1640,M,0,0,0,0,0,0,0.0008
img_1641,M,0,0,0,0,0,0,0.0193
img_1642,M,0,0,0,0,0,0,0.0141
img_1643,M,0,0,0,0,1,0,0.0101
img_1644,M,0,0,0,0,0,0,0.0141
img_1645,M,1,1,2,1,1,1,0.026
img_1646,M,2,2,2,2,2,2,0.0519
img_1647,M,0,0,0,0,0,0,0.0027
img_1648,M,0,0,0,0,0,0,0.005
img_1649,M,0,0,0,0,0,0,0.0012
img_1650,M,0,0,0,0,0,0,0.005
img_1651,M,0,0,0,0,0,0,0.0037
img_1652,M,0,0,0,0,0,0,0.0134
img_1653,M,2,2,2,2,2,2,0.0708
img_1654,M,2,2,2,2,2,2,0.0647
img_1655,M,0,0,0,0,1,0,0.0128
img_1656,M,0,1,1,1,1,1,0.0072
img_1657,M,0,0,0,0,0,0,0.0264
img_1658,M,0,0,1,0,1,0,0.018
img_1659,M,0,0,0,0,0,0,0.0134
img_1660,M,1,1,1,1,1,1,0.0136
img_1661,M,0,0,0,0,1,0,0.0086
img_1662,M,2,2,2,2,2,2,0.0824
img_1663,M,2,2,2,2,2,2,0.0314
img_1664,M,0,0,0,0,1,0,0.0057
img_1665,M,2,2,2,2,2,2,0.0757
img_1666,M,0,0,0,0,0,0,0.0157
img_1667,M,1,1,1,1,1,1,0.0074
img_1668,M,1,1,1,1,1,1,0.025
img_1669,M,1,2,2,2,2,2,0.0611
img_1670,M,1,1,1,1,1,1,0.007
img_1671,M,0,0,0,0,0,0,0.0013
img_1672,M,1,1,1,0,1,1,0.0186
img_1673,M,1,1,1,1,1,1,0.0079
img_1674,M,0,0,0,0,0,0,0.0237
img_1675,M,1,1,1,1,1,1,0.0063
img_1676,M,0,0,0,0,0,0,0.0078
img_1677,M,2,2,2,2,2,2,0.0147
img_1678,M,2,2,2,2,2,2,0.0223
img_1679,M,2,2,2,2,2,2,0.05
img_1680,M,2,2,2,2,2,2,0.0689
img_1681,M,0,0,0,0,1,0,0.0059
img_1682,M,1,1,1,1,1,1,0.0837
img_1683,M,0,0,0,0,1,0,0.0049
img_1684,M,0,0,0,0,0,0,0.0057
img_1685,M,2,2,2,2,2,2,0.0947
img_1686,M,0,0,0,0,0,0,0.0145
img_1687,M,1,1,1,1,1,1,0.0218
img_1688,M,0,1,1,1,1,1,0.0109
img_1689,M,1,2,2,2,2,2,0.0552
img_1690,M,1,1,1,1,1,1,0.011
img_1691,M,0,0,0,0,0,0,0.0123
img_1692,M,2,2,2,2,2,2,0.0445
img_1693,M,2,2,2,2,2,2,0.0675
img_1694,M,1,2,2,2,1,2,0.0468
img_1695,M,2,2,2,2,2,2,0.0589
img_1696,M,1,2,2,2,2,2,0.0599
img_1697,M,2,2,2,2,2,2,0.0247
img_1698,M,0,0,0,0,0,0,0.0158
img_1699,M,0,0,1,0,1,0,0.0085
img_1700,M,1,2,2,2,1,2,0.0406
img_1701,M,0,1,1,1,1,1,0.0101
img_1702,M,1,2,2,2,1,2,0.0256
img_1703,M,1,1,1,1,1,1,0.017
img_1704,M,0,0,0,0,0,0,0.0089
img_1705,M,0,0,0,0,1,0,0.0038
img_1706,M,2,2,2,2,1,2,0.0363
img_1707,M,0,1,1,1,1,1,0.006
img_1708,M,0,0,0,0,0,0,0.0067
img_1709,M,0,0,1,0,0,0,0.0086
img_1710,M,1,2,2,1,2,2,0.0087
img_1711,M,1,2,2,1,1,1,0.0267
img_1712,M,1,1,1,1,1,1,0.0054
img_1713,M,1,2,2,2,1,2,0.0293
img_1714,M,1,2,2,1,2,2,0.058
img_1715,M,0,0,0,0,0,0,0.0204
img_1716,M,2,2,2,2,2,2,0.1086
img_1717,M,1,2,2,0,2,2,0.0298
img_1718,M,0,0,0,2,0,0,0.0602
img_1719,M,2,2,2,2,2,2,0.0948
img_1720,M,0,0,0,0,0,0,0.0058
img_1721,M,2,2,2,2,2,2,0.112
img_1722,M,0,0,0,0,0,0,0.0034
img_1723,M,1,2,2,1,1,1,0.0505
img_1724,M,0,0,0,0,0,0,0.0032
img_1725,M,0,0,0,0,0,0,0.0039
img_1726,M,2,2,2,2,2,2,0.0492
img_1727,M,2,2,2,2,2,2,0.0571
img_1728,M,1,1,1,1,1,1,0.033
img_1729,M,1,1,1,1,1,1,0.0219
img_1730,M,2,2,2,2,2,2,0.043
img_1731,M,0,0,0,0,0,0,0.0044
img_1732,M,0,0,0,0,0,0,0.0024
img_1733,M,1,2,2,1,1,1,0.0167
img_1734,M,2,2,2,2,2,2,0.0788
img_1735,M,2,2,2,2,2,2,0.069
img_1736,M,0,0,0,0,0,0,0.0087
img_1737,M,0,0,0,0,0,0,0.0073
img_1738,M,1,1,1,1,1,1,0.0222
img_1739,M,2,2,2,2,2,2,0.0755
img_1740,M,2,2,2,2,2,2,0.0512
img_1741,M,0,0,0,0,0,0,0.007
